phase,relation,form,domain,outcome,best_agreement,reason
1,bare-grid phi in Laplacian,gap ratios ~ phi,spectral,NEGATIVE,phi not local on bare raster grid,grid mode-locking; rebuilt in Phase 51
2,alpha = 4/R_f^2,inverse-square in fiber radius,coupling,PARTIAL,form correct; scale open (M ~ phi^8),absolute scale of alpha not derived; see phi8 caution note
3,proton/electron mass,master equation,mass,SUPPORTED,"proton 99.97%, electron 99.95%",retained; refined by Phases 33/49
3,alpha_s from associator,alpha_s ~ alpha/phi^2,coupling,REJECTED,0.38 vs 0.118 (factor 3.2 gap),factor-3.2 gap; phasisity open until Phases 15/39
3,neutron mass m_n = m_p(1+alpha/phi^2),alpha/phi^2 correction,mass,SUPPORTED,99.91%,corrected to factor-2 in Phase 28
4,G_eff ~ fold density rho^1/phi,running exponent,gravity,SUPPORTED,D_eff crosses phi; pinning mechanism,retained; forecast evidenced in Phase 5
6,golden = maximal anti-resonance,attractor,dynamical,SUPPORTED,Fibonacci persistence,mechanism found
6,three-gap theorem ratio phi,"2 gap sizes, ratio phi at n=89",number-theoretic,DERIVED,rigorous,proved
13,D_eff -> phi under dynamical RG,fixed point,spectral,SUPPORTED,pins at 1.655 within 2.3% of phi,dynamical (not static) RG required; Phase 12 negative
12,static blocking RG converges,blocking RG,spectral,NEGATIVE,fails,static fails; dynamical required (Phase 13)
15,alpha_s = phi^4 layer-count,4 golden layers,coupling,SUPPORTED,0.122 vs 0.118 (3%),GAP CLOSED
15,"beta = phi^3, d=3",dimension falloff,gravity,SUPPORTED,2% from fitted 4.16,geometric
25,"Psi = Wilson loop, flat limit -I",SU(2) holonomy,quantum,DERIVED,exact -I; unitarity 1e-16,v6.2 mechanism
25,"static phi (D_eff=phi), rebuilt",spectral dimension,spectral,NEGATIVE,"D_eff=2.012, not phi",falsified statically; refined Phase 51
49,m_p/m_e = 6 pi^5,N_c * Vol(SU(3)) = 3 * 2 pi^5,mass,DERIVED,99.9981% (1.9e-5),exact topological duality; structurally derived
28,neutron factor-2 delta_n,c = 3/2 - alpha/phi^6,mass,DERIVED,0.02 sigma (c 1.4995935),half-integer Klein meridian quantization
29,factor 2 = spin double-cover,theta=1/2,mass,DERIVED,ratio 0.5 matches odd-ell analytic,720 deg double cover; 2 traversals
31,Koide Q = 2/3 via pi/2,theta=1/2 -> pi/2 phase,mass,SUPPORTED,Q=2/3 at 0.0009%,3 generations = three 120 deg offsets
32,"heavy (c,b,t) Koide",Q ~ 2/3,mass,CONSISTENT,0.6696 (+0.45%),edge of pole-mass systematics; not confirmed
32,"light (u,d,s) Koide",Q ~ 2/3,mass,NEGATIVE,"-15%, broken",pi/2 survives only where topological mass dominates
33,twist-dependent associator,Xi_eff = 1 - theta,mass,SUPPORTED,p/e 99.95%; neutron 0.02 sigma,framework correction; reduces to original at theta=0
34,decuplet E-ladder m = (19/4)E base,m = [4 + (k/2)f]E,mass,SUPPORTED,decuplet <= 0.27%,f_Klein = 3/2; 4 = double cover
